customer_id,trans_date,response,month,tran_amount,month_year
CS4897,4/12/2014,1,4,45,2014-04
CS2296,12/28/2012,0,12,79,2012-12
CS1494,6/29/2013,0,6,59,2013-06
CS3688,6/19/2014,0,6,55,2014-06
CS2287,12/23/2011,0,12,94,2011-12
CS3779,6/26/2011,0,6,69,2011-06
CS1423,6/5/2014,0,6,78,2014-06
CS2501,11/14/2012,1,11,59,2012-11
CS3434,2/22/2013,0,2,98,2013-02
CS2662,8/31/2014,0,8,88,2014-08
CS2209,3/12/2012,0,3,35,2012-03
CS4530,6/5/2011,0,6,40,2011-06
CS2848,2/4/2013,0,2,53,2013-02
CS2596,9/19/2011,0,9,55,2011-09
CS4421,5/20/2012,0,5,86,2012-05
CS4905,4/13/2012,0,4,93,2012-04
CS5704,12/4/2011,0,12,79,2011-12
CS2403,7/27/2014,1,7,94,2014-07
CS5480,1/28/2012,1,1,63,2012-01
CS5811,8/23/2013,1,8,91,2013-08
CS2051,12/9/2014,0,12,101,2014-12
CS3957,8/30/2012,0,8,69,2012-08
CS4704,11/25/2014,0,11,41,2014-11
CS2289,5/19/2012,0,5,67,2012-05
CS5218,6/21/2014,0,6,45,2014-06
CS4637,5/20/2011,1,5,71,2011-05
CS3158,5/6/2012,0,5,91,2012-05
CS4176,7/30/2012,0,7,49,2012-07
CS1939,11/25/2011,0,11,101,2011-11
CS5403,12/1/2011,0,12,64,2011-12
CS5489,12/2/2014,0,12,77,2014-12
CS4563,5/30/2011,0,5,101,2011-05
CS3508,5/23/2012,0,5,67,2012-05
CS2703,10/12/2014,1,10,40,2014-10
CS2596,5/1/2013,0,5,76,2013-05
CS5990,10/19/2012,0,10,103,2012-10
CS4215,7/9/2011,0,7,54,2011-07
CS4811,1/26/2012,1,1,77,2012-01
CS2070,1/30/2013,0,1,41,2013-01
CS3419,1/29/2015,0,1,38,2015-01
CS3668,8/14/2014,0,8,102,2014-08
CS4623,9/27/2013,1,9,89,2013-09
CS4708,7/2/2013,0,7,48,2013-07
CS1816,9/22/2013,0,9,64,2013-09
CS5376,12/8/2013,0,12,44,2013-12
CS4568,11/15/2011,0,11,70,2011-11
CS1779,1/27/2012,0,1,53,2012-01
CS2447,7/10/2011,0,7,82,2011-07
CS1985,8/16/2011,0,8,87,2011-08
CS2544,11/7/2011,0,11,64,2011-11
CS2158,9/11/2012,0,9,89,2012-09
CS5776,9/9/2014,0,9,87,2014-09
CS5653,9/4/2013,0,9,98,2013-09
CS2291,10/15/2014,0,10,67,2014-10
CS6088,10/29/2012,0,10,48,2012-10
CS4245,6/2/2014,0,6,102,2014-06
CS3344,7/2/2014,0,7,56,2014-07
CS1481,12/23/2013,0,12,50,2013-12
CS5400,12/23/2011,0,12,56,2011-12
CS5463,8/27/2014,0,8,91,2014-08
CS5951,8/7/2014,1,8,104,2014-08
CS5515,2/19/2012,0,2,41,2012-02
CS3039,5/1/2012,0,5,92,2012-05
CS1836,3/24/2012,0,3,63,2012-03
CS4320,4/9/2014,1,4,52,2014-04
CS4889,12/1/2011,0,12,38,2011-12
CS1319,9/26/2011,0,9,95,2011-09
CS4859,1/7/2015,1,1,50,2015-01
CS4148,2/8/2014,0,2,40,2014-02
CS5264,4/3/2013,0,4,81,2013-04
CS4041,12/29/2014,0,12,49,2014-12
CS2183,1/4/2013,0,1,39,2013-01
CS2516,2/15/2015,0,2,55,2015-02
CS1890,11/3/2012,0,11,37,2012-11
CS3730,2/11/2013,1,2,89,2013-02
CS5382,3/7/2013,1,3,48,2013-03
CS5970,6/13/2014,0,6,40,2014-06
CS5260,1/30/2015,1,1,46,2015-01
CS2437,11/13/2011,0,11,90,2011-11
CS4675,9/11/2011,0,9,67,2011-09
CS2920,10/11/2011,0,10,87,2011-10
CS2548,9/28/2013,1,9,73,2013-09
CS1818,12/26/2011,0,12,46,2011-12
CS6098,9/28/2012,1,9,42,2012-09
CS2712,12/26/2011,0,12,65,2011-12
CS2714,12/14/2011,0,12,69,2011-12
CS2615,8/17/2013,0,8,39,2013-08
CS5445,7/27/2014,0,7,72,2014-07
CS5812,11/2/2014,0,11,62,2014-11
CS4636,9/22/2013,0,9,66,2013-09
CS3147,6/4/2014,1,6,84,2014-06
CS1273,2/1/2012,0,2,91,2012-02
CS4243,11/11/2011,0,11,48,2011-11
CS2357,4/13/2012,0,4,71,2012-04
CS1776,5/3/2014,0,5,79,2014-05
CS5643,3/2/2013,0,3,104,2013-03
CS4522,3/6/2015,0,3,82,2015-03
CS2418,2/1/2015,0,2,51,2015-02
CS1330,11/21/2014,0,11,41,2014-11
CS1195,12/29/2014,0,12,83,2014-12
CS4306,3/7/2015,0,3,54,2015-03
CS2137,9/29/2013,0,9,73,2013-09
CS3518,6/19/2013,0,6,54,2013-06
CS5835,9/18/2011,1,9,52,2011-09
CS4701,1/15/2015,0,1,95,2015-01
CS4548,6/28/2012,0,6,38,2012-06
CS2384,10/15/2012,0,10,35,2012-10
CS4081,2/17/2013,0,2,74,2013-02
CS5976,1/2/2012,0,1,99,2012-01
CS3874,9/8/2011,0,9,44,2011-09
CS5356,6/17/2014,1,6,105,2014-06
CS4667,9/17/2014,0,9,66,2014-09
CS4328,6/4/2012,0,6,56,2012-06
CS3291,8/2/2013,0,8,42,2013-08
CS4282,9/11/2011,0,9,44,2011-09
CS4331,9/25/2011,0,9,70,2011-09
CS1243,3/17/2013,0,3,36,2013-03
CS2390,5/20/2014,0,5,104,2014-05
CS2207,4/5/2014,0,4,71,2014-04
CS1270,11/18/2011,0,11,104,2011-11
CS1219,11/11/2014,0,11,91,2014-11
CS5427,11/13/2012,1,11,96,2012-11
CS5474,5/18/2011,0,5,69,2011-05
CS5109,5/23/2012,0,5,92,2012-05
CS5287,3/14/2015,0,3,94,2015-03
CS3477,5/5/2013,0,5,80,2013-05
CS3970,12/13/2011,0,12,86,2011-12
CS5760,12/8/2011,0,12,59,2011-12
CS2149,4/4/2013,0,4,83,2013-04
CS4934,7/19/2014,1,7,80,2014-07
CS1517,10/18/2013,0,10,89,2013-10
CS1641,12/29/2012,0,12,64,2012-12
CS2187,11/19/2011,0,11,70,2011-11
CS5359,8/12/2014,0,8,96,2014-08
CS3124,12/8/2011,0,12,71,2011-12
CS1721,8/30/2012,0,8,96,2012-08
CS5212,1/22/2015,0,1,42,2015-01
CS5111,8/23/2011,1,8,81,2011-08
CS3137,4/4/2012,0,4,67,2012-04
CS1511,1/25/2015,0,1,69,2015-01
CS2509,2/23/2014,0,2,92,2014-02
CS5994,1/11/2014,0,1,42,2014-01
CS2613,8/25/2013,0,8,103,2013-08
CS1934,8/18/2014,0,8,89,2014-08
CS3127,10/2/2011,0,10,39,2011-10
CS5225,3/18/2014,1,3,104,2014-03
CS1815,11/17/2012,0,11,83,2012-11
CS3552,4/27/2014,0,4,102,2014-04
CS1893,11/17/2013,0,11,42,2013-11
CS3621,10/26/2013,0,10,56,2013-10
CS4330,7/17/2013,0,7,59,2013-07
CS4991,7/20/2013,0,7,90,2013-07
CS2312,10/22/2013,0,10,37,2013-10
CS2359,6/4/2012,1,6,90,2012-06
CS4798,12/6/2012,1,12,84,2012-12
CS2507,6/28/2012,0,6,94,2012-06
CS1430,9/2/2014,0,9,71,2014-09
CS3787,10/23/2013,0,10,48,2013-10
CS4103,4/14/2013,0,4,89,2013-04
CS2881,9/24/2012,0,9,54,2012-09
CS1854,9/29/2011,0,9,74,2011-09
CS2863,12/23/2012,0,12,102,2012-12
CS5292,9/4/2013,1,9,64,2013-09
CS3184,1/7/2012,0,1,88,2012-01
CS2049,10/7/2013,0,10,66,2013-10
CS2832,7/16/2013,0,7,105,2013-07
CS2251,4/12/2013,0,4,99,2013-04
CS5667,2/25/2014,0,2,66,2014-02
CS1327,2/19/2012,0,2,38,2012-02
CS4927,8/12/2013,0,8,37,2013-08
CS2302,9/9/2012,0,9,100,2012-09
CS3901,9/11/2012,0,9,82,2012-09
CS5762,4/21/2013,0,4,85,2013-04
CS2289,3/13/2012,0,3,89,2012-03
CS2867,2/9/2012,1,2,56,2012-02
CS2359,8/10/2014,1,8,87,2014-08
CS5814,12/12/2011,1,12,72,2011-12
CS5129,6/21/2011,0,6,102,2011-06
CS2597,6/3/2012,0,6,42,2012-06
CS5838,9/1/2012,0,9,96,2012-09
CS5800,4/23/2012,0,4,86,2012-04
CS3786,7/16/2013,0,7,66,2013-07
CS3659,5/19/2012,0,5,77,2012-05
CS4400,9/3/2011,0,9,97,2011-09
CS3026,6/3/2012,0,6,55,2012-06
CS3632,2/10/2013,0,2,72,2013-02
CS1452,3/23/2012,0,3,79,2012-03
CS5140,7/11/2014,0,7,97,2014-07
CS5383,12/29/2013,0,12,73,2013-12
CS4695,9/17/2013,0,9,48,2013-09
CS2368,8/10/2012,0,8,66,2012-08
CS2066,7/15/2011,0,7,51,2011-07
CS5277,7/12/2011,1,7,90,2011-07
CS3025,12/30/2011,1,12,72,2011-12
CS4802,6/25/2011,0,6,45,2011-06
CS6001,2/16/2014,0,2,63,2014-02
CS3981,9/20/2014,0,9,74,2014-09
CS3885,4/29/2014,0,4,56,2014-04
CS5546,8/28/2012,0,8,79,2012-08
CS4964,5/20/2014,0,5,79,2014-05
CS4881,1/21/2014,0,1,55,2014-01
CS4103,3/2/2014,0,3,40,2014-03
CS5884,12/19/2012,0,12,97,2012-12
CS2765,4/18/2013,0,4,88,2013-04
CS4438,7/5/2014,1,7,72,2014-07
CS2234,12/21/2014,0,12,36,2014-12
CS3015,1/30/2014,0,1,58,2014-01
CS3755,1/1/2015,0,1,45,2015-01
CS3927,3/25/2014,1,3,77,2014-03
CS5799,11/8/2012,0,11,101,2012-11
CS5708,6/3/2011,0,6,89,2011-06
CS3695,4/20/2013,0,4,51,2013-04
CS1969,10/23/2014,0,10,39,2014-10
CS3854,11/9/2014,1,11,104,2014-11
CS3416,2/23/2015,0,2,57,2015-02
CS1414,12/1/2013,0,12,104,2013-12
CS4732,3/27/2013,0,3,96,2013-03
CS2493,12/29/2012,0,12,85,2012-12
CS5851,1/19/2013,0,1,98,2013-01
CS1678,5/9/2014,0,5,48,2014-05
CS2049,3/19/2013,0,3,36,2013-03
CS3676,9/27/2011,0,9,43,2011-09
CS4853,3/27/2012,0,3,68,2012-03
CS4292,3/4/2014,0,3,98,2014-03
CS3152,12/15/2014,0,12,40,2014-12
CS5640,1/13/2014,0,1,77,2014-01
CS5857,9/26/2012,0,9,85,2012-09
CS1472,4/12/2014,0,4,72,2014-04
CS3888,2/22/2012,0,2,70,2012-02
CS5563,6/23/2013,0,6,70,2013-06
CS5104,9/17/2012,0,9,99,2012-09
CS6109,11/1/2013,0,11,92,2013-11
CS2352,10/6/2014,1,10,62,2014-10
CS4024,2/1/2014,0,2,39,2014-02
CS1499,12/24/2011,0,12,91,2011-12
CS3071,9/15/2012,0,9,39,2012-09
CS5638,12/16/2014,0,12,58,2014-12
CS5533,5/16/2013,0,5,73,2013-05
CS1961,3/29/2012,0,3,75,2012-03
CS1707,9/15/2011,0,9,105,2011-09
CS3692,9/17/2014,0,9,48,2014-09
CS1275,12/28/2011,0,12,102,2011-12
CS4738,3/20/2013,0,3,37,2013-03
CS3732,6/12/2011,1,6,83,2011-06
CS5676,12/16/2013,0,12,44,2013-12
CS4111,7/26/2012,0,7,54,2012-07
CS2074,1/5/2015,0,1,79,2015-01
CS5815,1/3/2015,0,1,92,2015-01
CS5094,3/7/2015,0,3,84,2015-03
CS5431,1/5/2013,0,1,55,2013-01
CS4540,8/13/2014,1,8,55,2014-08
CS1891,3/25/2013,0,3,84,2013-03
CS4389,3/22/2013,1,3,70,2013-03
CS4412,1/7/2012,0,1,47,2012-01
CS1697,7/13/2014,0,7,98,2014-07
CS2720,4/11/2012,0,4,72,2012-04
CS1152,8/4/2012,0,8,71,2012-08
CS3796,9/14/2013,0,9,37,2013-09
CS6066,8/23/2013,0,8,66,2013-08
CS2643,7/20/2014,0,7,69,2014-07
CS6056,3/22/2014,0,3,104,2014-03
CS3489,1/9/2013,0,1,76,2013-01
CS5229,11/23/2011,0,11,58,2011-11
CS4649,12/16/2014,0,12,93,2014-12
CS4372,8/27/2014,0,8,71,2014-08
CS1790,10/4/2012,0,10,100,2012-10
CS1475,8/20/2012,0,8,73,2012-08
CS2452,4/5/2014,0,4,77,2014-04
CS2781,6/2/2011,0,6,51,2011-06
CS5260,9/25/2014,1,9,89,2014-09
CS5155,12/25/2011,0,12,100,2011-12
CS1582,5/24/2014,1,5,46,2014-05
CS4757,8/19/2011,0,8,81,2011-08
CS6039,10/5/2013,0,10,104,2013-10
CS1580,11/18/2012,1,11,87,2012-11
CS3815,7/5/2011,0,7,54,2011-07
CS6063,4/13/2013,0,4,104,2013-04
CS2226,10/29/2014,0,10,104,2014-10
CS5367,1/8/2015,1,1,77,2015-01
CS4581,6/4/2013,0,6,95,2013-06
CS5004,12/21/2014,0,12,59,2014-12
CS2164,8/6/2013,0,8,35,2013-08
CS4590,5/31/2014,0,5,79,2014-05
CS4600,10/3/2011,0,10,50,2011-10
CS2122,2/20/2012,0,2,90,2012-02
CS3060,8/24/2012,0,8,59,2012-08
CS2217,4/19/2013,0,4,85,2013-04
CS4288,4/21/2014,0,4,68,2014-04
CS1568,5/10/2013,0,5,104,2013-05
CS3442,9/16/2014,0,9,39,2014-09
CS4883,12/24/2013,0,12,39,2013-12
CS4911,2/17/2012,0,2,75,2012-02
CS1533,7/25/2012,0,7,86,2012-07
CS3103,5/7/2014,0,5,59,2014-05
CS2185,1/29/2012,0,1,46,2012-01
CS4094,7/24/2013,0,7,100,2013-07
CS4354,12/29/2012,1,12,62,2012-12
CS1939,7/25/2012,0,7,46,2012-07
CS5516,12/4/2012,0,12,75,2012-12
CS5664,11/2/2013,0,11,95,2013-11
CS5068,11/7/2014,0,11,41,2014-11
CS4376,10/13/2014,0,10,49,2014-10
CS5825,10/22/2011,0,10,61,2011-10
CS1871,1/16/2012,0,1,64,2012-01
CS5046,2/6/2015,1,2,86,2015-02
CS1259,6/30/2013,1,6,64,2013-06
CS5664,9/11/2011,0,9,58,2011-09
CS2986,7/20/2011,0,7,67,2011-07
CS5510,9/2/2013,0,9,99,2013-09
CS2845,1/10/2013,0,1,73,2013-01
CS4077,7/22/2012,0,7,90,2012-07
CS3466,11/4/2013,0,11,71,2013-11
CS1508,10/25/2013,0,10,101,2013-10
CS2469,7/19/2014,0,7,93,2014-07
CS2767,1/3/2015,0,1,105,2015-01
CS5790,3/17/2012,0,3,58,2012-03
CS1710,6/10/2013,0,6,100,2013-06
CS2554,10/5/2011,0,10,100,2011-10
CS5283,2/5/2015,0,2,63,2015-02
CS4050,8/30/2014,0,8,63,2014-08
CS5975,9/8/2012,0,9,77,2012-09
CS4227,10/16/2012,0,10,74,2012-10
CS5983,5/20/2011,0,5,47,2011-05
CS2490,12/4/2013,0,12,70,2013-12
CS1696,12/25/2012,1,12,51,2012-12
CS3209,2/25/2014,0,2,82,2014-02
CS2942,1/8/2013,0,1,62,2013-01
CS4981,10/16/2011,0,10,93,2011-10
CS1397,3/26/2014,0,3,77,2014-03
CS1903,4/15/2013,0,4,92,2013-04
CS3754,11/30/2013,0,11,77,2013-11
CS4763,12/12/2011,0,12,78,2011-12
CS4413,1/17/2015,0,1,38,2015-01
CS2333,8/13/2011,0,8,99,2011-08
CS2798,5/30/2012,0,5,100,2012-05
CS5033,12/13/2011,0,12,96,2011-12
CS1420,9/9/2014,1,9,99,2014-09
CS5132,9/14/2011,0,9,74,2011-09
CS3058,9/3/2012,0,9,74,2012-09
CS3692,9/22/2013,0,9,42,2013-09
CS2463,9/29/2012,0,9,55,2012-09
CS5209,11/11/2011,0,11,35,2011-11
CS4581,11/16/2013,0,11,53,2013-11
CS3424,12/2/2013,0,12,85,2013-12
CS3207,6/27/2013,1,6,86,2013-06
CS5763,1/23/2013,0,1,56,2013-01
CS5772,1/18/2012,0,1,97,2012-01
CS3673,4/29/2013,0,4,85,2013-04
CS2887,3/2/2012,0,3,100,2012-03
CS1596,8/28/2011,0,8,66,2011-08
CS4299,6/17/2012,0,6,37,2012-06
CS1492,2/6/2014,0,2,82,2014-02
CS2313,4/10/2014,0,4,40,2014-04
CS5385,4/25/2014,0,4,83,2014-04
CS3441,11/3/2013,0,11,43,2013-11
CS4701,7/26/2014,0,7,53,2014-07
CS1746,6/21/2013,1,6,103,2013-06
CS3276,7/27/2013,0,7,65,2013-07
CS2555,5/20/2012,0,5,50,2012-05
CS2569,4/29/2014,0,4,37,2014-04
CS3426,5/1/2014,0,5,67,2014-05
CS3052,11/17/2013,1,11,67,2013-11
CS1993,8/8/2013,0,8,68,2013-08
CS4908,9/27/2014,0,9,78,2014-09
CS3021,2/10/2014,0,2,43,2014-02
CS4424,5/16/2013,0,5,82,2013-05
CS4841,5/23/2013,0,5,74,2013-05
CS3486,11/19/2012,0,11,75,2012-11
CS2218,10/11/2011,0,10,78,2011-10
CS4779,4/29/2012,1,4,53,2012-04
CS4226,4/19/2013,0,4,100,2013-04
CS1653,8/30/2011,1,8,53,2011-08
CS2533,3/30/2012,0,3,99,2012-03
CS2905,7/29/2012,0,7,47,2012-07
CS5169,1/25/2013,0,1,64,2013-01
CS5142,11/25/2012,0,11,64,2012-11
CS4390,7/2/2014,0,7,43,2014-07
CS5668,2/27/2014,0,2,91,2014-02
CS2896,1/14/2013,0,1,71,2013-01
CS5156,10/2/2013,0,10,58,2013-10
CS4200,8/12/2012,0,8,67,2012-08
CS4391,9/7/2014,1,9,67,2014-09
CS5408,7/22/2013,0,7,78,2013-07
CS6019,10/25/2013,1,10,84,2013-10
CS3981,7/25/2012,0,7,40,2012-07
CS5925,6/20/2013,0,6,66,2013-06
CS3964,11/14/2013,0,11,105,2013-11
CS4688,5/20/2013,0,5,101,2013-05
CS1343,6/2/2012,0,6,57,2012-06
CS6024,10/14/2012,0,10,45,2012-10
CS2816,12/18/2011,0,12,84,2011-12
CS2434,5/20/2012,1,5,41,2012-05
CS6018,5/18/2012,0,5,96,2012-05
CS2072,7/7/2012,0,7,63,2012-07
CS2897,12/3/2013,0,12,83,2013-12
CS1680,10/14/2013,0,10,81,2013-10
CS1638,8/5/2013,0,8,84,2013-08
CS1165,4/12/2012,0,4,101,2012-04
CS4593,1/4/2012,0,1,84,2012-01
CS3414,11/13/2011,0,11,46,2011-11
CS2252,2/28/2013,0,2,58,2013-02
CS3598,7/30/2013,0,7,54,2013-07
CS3642,5/19/2014,1,5,62,2014-05
CS5948,7/10/2014,0,7,71,2014-07
CS5582,5/23/2014,0,5,96,2014-05
CS6107,7/23/2011,0,7,70,2011-07
CS5201,7/2/2011,0,7,79,2011-07
CS1639,5/5/2013,0,5,51,2013-05
CS5884,11/20/2012,0,11,52,2012-11
CS3515,7/7/2014,0,7,81,2014-07
CS2332,8/29/2013,0,8,66,2013-08
CS5628,12/16/2014,0,12,94,2014-12
CS4830,4/13/2012,0,4,78,2012-04
CS1673,1/4/2012,0,1,92,2012-01
CS4993,6/1/2011,0,6,86,2011-06
CS2603,7/1/2013,1,7,58,2013-07
CS1800,11/20/2013,0,11,72,2013-11
CS3911,6/9/2012,0,6,83,2012-06
CS5465,12/5/2011,0,12,77,2011-12
CS2373,3/29/2012,0,3,105,2012-03
CS1241,3/6/2013,0,3,104,2013-03
CS4244,2/15/2013,0,2,48,2013-02
CS5233,6/5/2013,0,6,73,2013-06
CS5405,12/4/2013,0,12,87,2013-12
CS4115,11/30/2011,1,11,73,2011-11
CS4283,12/23/2011,0,12,76,2011-12
CS4420,5/28/2014,0,5,93,2014-05
CS4779,5/8/2013,1,5,41,2013-05
CS2567,7/15/2011,0,7,93,2011-07
CS3629,9/30/2014,0,9,68,2014-09
CS2026,8/25/2013,1,8,66,2013-08
CS4338,7/5/2013,0,7,58,2013-07
CS4142,5/20/2012,0,5,100,2012-05
CS2837,11/10/2012,0,11,88,2012-11
CS1625,11/5/2013,0,11,104,2013-11
CS4873,11/20/2012,0,11,83,2012-11
CS3376,8/28/2012,0,8,39,2012-08
CS4311,2/27/2012,1,2,35,2012-02
CS1396,9/25/2012,0,9,86,2012-09
CS3779,1/29/2014,0,1,92,2014-01
CS1997,10/9/2012,0,10,87,2012-10
CS4540,5/17/2012,1,5,72,2012-05
CS5299,12/22/2012,0,12,90,2012-12
CS2253,11/21/2012,0,11,99,2012-11
CS6066,3/17/2014,0,3,102,2014-03
CS6077,11/22/2012,0,11,44,2012-11
CS3300,12/28/2014,0,12,86,2014-12
CS5922,3/31/2012,1,3,95,2012-03
CS6009,3/13/2014,1,3,39,2014-03
CS5064,2/19/2013,0,2,97,2013-02
CS2399,4/21/2014,0,4,77,2014-04
CS5547,9/27/2012,1,9,73,2012-09
CS5114,9/23/2012,0,9,96,2012-09
CS3908,11/10/2011,1,11,83,2011-11
CS4194,4/24/2013,0,4,92,2013-04
CS5342,10/15/2012,0,10,82,2012-10
CS5425,8/4/2012,0,8,90,2012-08
CS1991,9/29/2014,0,9,94,2014-09
CS2693,8/27/2013,0,8,61,2013-08
CS5076,1/31/2015,1,1,63,2015-01
CS3177,6/8/2011,0,6,87,2011-06
CS2809,6/2/2012,1,6,60,2012-06
CS3864,12/6/2013,0,12,56,2013-12
CS2515,12/11/2011,1,12,51,2011-12
CS4487,8/25/2011,0,8,100,2011-08
CS3108,8/20/2011,0,8,87,2011-08
CS1133,7/28/2014,0,7,91,2014-07
CS5919,3/4/2012,0,3,97,2012-03
CS6067,9/4/2012,0,9,44,2012-09
CS4893,10/24/2013,0,10,66,2013-10
CS5750,3/25/2014,0,3,48,2014-03
CS1445,11/13/2011,0,11,88,2011-11
CS1710,10/26/2011,0,10,52,2011-10
CS1927,12/23/2013,0,12,97,2013-12
CS5719,7/10/2011,1,7,40,2011-07
CS2591,1/29/2014,0,1,69,2014-01
CS2416,2/13/2013,0,2,59,2013-02
CS1347,2/10/2013,0,2,74,2013-02
CS3073,2/13/2015,0,2,95,2015-02
CS3590,10/23/2013,0,10,104,2013-10
CS4099,5/29/2014,0,5,67,2014-05
CS4109,8/21/2012,0,8,40,2012-08
CS6072,12/20/2011,0,12,82,2011-12
CS3266,11/17/2012,0,11,51,2012-11
CS1433,12/22/2014,0,12,72,2014-12
CS5499,6/23/2011,0,6,59,2011-06
CS1533,7/20/2012,0,7,85,2012-07
CS5405,4/21/2012,0,4,91,2012-04
CS4971,5/28/2013,0,5,83,2013-05
CS5461,2/6/2012,1,2,47,2012-02
CS6088,1/27/2013,0,1,82,2013-01
CS1984,9/4/2012,0,9,53,2012-09
CS1184,1/5/2013,0,1,102,2013-01
CS4346,12/9/2012,0,12,65,2012-12
CS5245,10/29/2014,0,10,104,2014-10
CS5402,11/3/2011,0,11,84,2011-11
CS2765,8/29/2011,0,8,61,2011-08
CS5785,6/20/2013,0,6,63,2013-06
CS5767,5/29/2013,0,5,82,2013-05
CS2753,6/17/2012,0,6,63,2012-06
CS2252,9/4/2012,0,9,68,2012-09
CS5488,6/28/2012,0,6,53,2012-06
CS5354,9/23/2014,0,9,83,2014-09
CS1470,2/11/2012,0,2,95,2012-02
CS1155,10/16/2011,0,10,75,2011-10
CS5565,6/4/2014,0,6,36,2014-06
CS6073,2/7/2015,0,2,104,2015-02
CS2817,6/11/2014,0,6,43,2014-06
CS3210,10/29/2011,0,10,57,2011-10
CS4688,10/16/2012,0,10,59,2012-10
CS4663,2/24/2013,0,2,95,2013-02
CS4539,7/28/2012,1,7,35,2012-07
CS2580,7/9/2012,0,7,42,2012-07
CS3983,10/15/2012,0,10,103,2012-10
CS2771,7/2/2012,0,7,67,2012-07
CS3635,2/3/2015,0,2,38,2015-02
CS1415,1/21/2012,0,1,73,2012-01
CS2294,3/4/2015,0,3,94,2015-03
CS1405,9/18/2013,0,9,43,2013-09
CS1582,1/16/2014,1,1,85,2014-01
CS2886,11/9/2013,0,11,38,2013-11
CS2770,11/7/2014,0,11,80,2014-11
CS1140,12/28/2014,0,12,61,2014-12
CS2333,1/25/2014,0,1,93,2014-01
CS4752,4/20/2013,0,4,95,2013-04
CS5687,7/26/2011,0,7,89,2011-07
CS4895,1/11/2014,0,1,80,2014-01
CS2786,11/28/2011,0,11,66,2011-11
CS1927,5/24/2012,0,5,63,2012-05
CS4327,9/26/2014,0,9,36,2014-09
CS1624,3/30/2013,0,3,68,2013-03
CS5490,8/19/2014,0,8,36,2014-08
CS4395,2/26/2012,0,2,66,2012-02
CS3174,1/25/2013,0,1,61,2013-01
CS2011,6/6/2013,0,6,85,2013-06
CS5553,1/7/2015,0,1,98,2015-01
CS3775,2/23/2012,0,2,92,2012-02
CS2885,11/8/2012,0,11,55,2012-11
CS1206,8/11/2014,0,8,90,2014-08
CS4480,5/23/2012,0,5,60,2012-05
CS1488,2/12/2015,0,2,65,2015-02
CS1456,2/8/2013,0,2,95,2013-02
CS4681,2/3/2014,0,2,96,2014-02
CS3170,10/16/2012,0,10,85,2012-10
CS1906,5/18/2014,0,5,60,2014-05
CS5774,2/28/2015,0,2,78,2015-02
CS6063,9/29/2011,0,9,77,2011-09
CS2223,1/17/2014,0,1,41,2014-01
CS1848,9/27/2011,0,9,48,2011-09
CS2366,4/8/2014,0,4,39,2014-04
CS5335,1/13/2014,0,1,45,2014-01
CS2899,10/12/2012,1,10,55,2012-10
CS4219,12/6/2013,0,12,59,2013-12
CS5690,1/19/2015,0,1,82,2015-01
CS3410,9/6/2014,0,9,97,2014-09
CS1337,7/24/2014,0,7,103,2014-07
CS4954,11/2/2012,0,11,82,2012-11
CS4400,8/23/2011,0,8,67,2011-08
CS3652,2/7/2015,0,2,64,2015-02
CS5677,2/28/2013,0,2,93,2013-02
